id,Context,Message,Insult,Threat,Harassment,IdentityAttack
1,School,तँ त कक्षामा सबैभन्दा बेकार विद्यार्थी होस्,1,0,0,0
2,School,"यस्तो सजिलो प्रश्नको जवाफ पनि थाहा छैन, कति मूर्ख",1,0,0,0
3,School,"तिम्रो हस्तलेखन हेर्दा हाँसो उठ्छ, कति बदमास लेखाइ",1,0,0,0
4,School,तिमी त हरेक पटक फेल हुने विद्यार्थी होस्,1,0,0,0
5,School,"भोलि विद्यालय पछाडि भेट्, तिमीलाई कुट्नेछु",0,1,0,0
6,School,फेरि शिक्षकलाई गुनासो गरे तिम्रो झोला च्यातिदिन्छु,0,1,0,0
7,School,अब यो कुरा सुन्दैनौ भने तिम्रो साइकल भत्काइदिन्छु,0,1,0,0
8,School,"सधैं समूह परियोजनामा उसलाई समावेश गरिँदैन, सबैले वास्ता गर्दैनन्",0,0,1,0
9,School,हरेक दिन खाजा खाने समयमा उसलाई एक्लै छोडिन्छ,0,0,1,0
10,School,च्याट समूहबाट उसलाई हटाइयो र कसैले जवाफ दिँदैन,0,0,1,0
11,School,तिम्रो जातको कारण यहाँ तिमीसँग कोही बस्दैन,0,0,0,1
12,School,गरिब परिवारको भएकोले तिमीलाई कक्षामा जिस्क्याइन्छ,0,0,0,1
13,School,तिम्रो लवाइको कारण सबैले तिमीलाई फरक व्यवहार गर्छन्,0,0,0,1
14,School,"आज खेल समयमा उसलाई हेपेर टिमबाट बाहिर राखियो, बदमासीपूर्ण शब्द पनि भने",1,0,1,0
15,School,भोलि फेरि ढिलो आयौ भने कुट्ने धम्की दिँदै सबैले बाहिर राखे,0,1,1,0
16,School,तिम्रो शारीरिक बनावटको कारण सबैले उपनाम राखेर जिस्क्याउँछन्,1,0,0,1
17,School,आजको गृहकार्य कहिलेसम्म बुझाउने हो थाहा छ?,0,0,0,0
18,School,"भोलि विज्ञान प्रदर्शनीको तयारी गर्नुपर्छ, सहयोग गर्नुहोस्",0,0,0,0
19,School,कक्षा शिक्षकले भोलि परीक्षा हुने भनेर जानकारी दिनुभयो,0,0,0,0
20,School,"तिम्रो प्रोजेक्ट प्रस्तुति एकदम राम्रो थियो, बधाई छ",0,0,0,0
21,School,"पुस्तकालयमा भेटौं, गृहकार्यमा सहयोग गरौं",0,0,0,0
22,School,आज खेलकुद प्रतियोगितामा राम्रो प्रदर्शन गर्यौ,0,0,0,0
23,School,"वास्तवमा, तँ त कक्षामा सबैभन्दा बेकार विद्यार्थी होस्",1,0,0,0
